MIMAT0017275	mmu-miR-467c-3p
MIMAT0017276	mmu-miR-493-5p
MIMAT0017279	mmu-miR-873a-3p
MIMAT0017280	mmu-miR-208b-5p
MIMAT0017281	mmu-miR-511-3p
MIMAT0017282	mmu-miR-544-5p
MIMAT0017322	mmu-miR-466l-5p
MIMAT0017324	mmu-miR-669d-3p
MIMAT0017325	mmu-miR-466i-5p
MIMAT0017326	mmu-miR-1b-3p
MIMAT0017327	mmu-miR-669f-5p
MIMAT0017329	mmu-miR-1193-5p
MIMAT0017332	mmu-miR-1198-3p
MIMAT0017341	mmu-miR-1934-3p
MIMAT0017343	mmu-miR-1947-3p
MIMAT0017345	mmu-miR-669l-3p
MIMAT0017346	mmu-miR-669m-5p
MIMAT0017347	mmu-miR-669o-3p
MIMAT0017348	mmu-miR-1955-3p
MIMAT0017349	mmu-miR-1964-5p
MIMAT0017351	mmu-miR-1981-3p
MIMAT0017353	mmu-miR-664-5p
MIMAT0019136	mmu-miR-1306-5p
MIMAT0020610	mmu-miR-5103
MIMAT0020632	mmu-miR-3473d
MIMAT0020638	mmu-miR-5127
MIMAT0022359	mmu-miR-5616-5p
MIMAT0022367	mmu-miR-5620-5p
MIMAT0022370	mmu-miR-5621-3p
MIMAT0022375	mmu-miR-3073b-5p
MIMAT0022378	mmu-miR-5624-3p
MIMAT0022381	mmu-miR-5626-5p
MIMAT0022382	mmu-miR-5626-3p
MIMAT0022837	mmu-miR-299b-3p
MIMAT0022841	mmu-miR-219a-2-3p
MIMAT0022987	mmu-miR-5129-3p
MIMAT0024861	mmu-miR-6240
MIMAT0025076	mmu-miR-195b
MIMAT0025078	mmu-miR-133c
MIMAT0025082	mmu-miR-6339
MIMAT0025084	mmu-miR-6341
MIMAT0025085	mmu-miR-6342
MIMAT0025092	mmu-miR-6349
MIMAT0025095	mmu-miR-6352
MIMAT0025096	mmu-miR-6353
MIMAT0025104	mmu-miR-6361
MIMAT0025105	mmu-miR-145b
MIMAT0025111	mmu-miR-6367
MIMAT0025113	mmu-miR-6369
MIMAT0025114	mmu-miR-6370
MIMAT0025123	mmu-let-7j
MIMAT0025128	mmu-miR-6382
MIMAT0025129	mmu-miR-6383
MIMAT0025132	mmu-miR-130c
MIMAT0025133	mmu-miR-6386
MIMAT0025136	mmu-miR-5124b
