C1_H1	C1_H2	C1_H3	C1_N1	C1_N2	C1_N3	C2_H1	C2_H2	C2_H3	C2_N1	C2_N2	C2_N3	C3_H1	C3_H2	C3_H3	C3_N1	C3_N2	C3_N3
MGC34796	4.37994211010363	5.10816792532177	4.51968052220179	3.95262126117879	4.37634725939238	3.97241364591102	3.99024602204561	4.45809584143294	4.45577415280228	3.79548514117742	4.37256262591221	3.95331204190596	3.73293698234735	3.93711591118823	3.71304682885507	3.95692985402915	3.68366329781069	3.93520249913209
MIR3116-1	2.90509797780596	2.84073789215465	3.066321021536	3.08025853909335	3.19619750175749	3.27421809367913	2.96312234912572	2.50790333052347	3.23679307366002	2.70337178064972	2.14500144756445	2.40610364261591	3.27950717556728	2.95529889722126	2.74247207956331	2.71880733675788	2.96483639254261	2.73575896528784
MIR3117	2.41209909368563	1.83754503598763	2.58959851456965	1.93110433273808	1.82751027882137	2.0886841466887	1.74827006261057	1.57842521784095	2.35159535555821	2.07410383408905	1.62945177004742	2.06738477113663	1.54810911341474	2.78920138008692	1.91002441731559	1.48705855508943	1.96981514884377	1.72069874271928
GNG12-AS1	1.9491929881804	3.12544496714715	2.24683446261012	1.93222024935305	1.93634848136145	2.42006178773545	2.09045562871034	2.01236152934655	2.09146774864633	1.97643273503364	2.35166578029982	1.63602488353837	2.33860809715801	2.29486722365887	2.23004563785965	2.109863061089	2.06176866442662	1.75381331130152
DEPDC1-AS1	0.966147483793794	1.51113875131202	1.06953469352631	0.855736042162583	1.0949037442848	1.19801874663083	1.21571402062717	1.14207342970679	0.948826308605608	1.24124576438754	1.11627193183868	0.838517001993003	1.78105559564517	1.28135205675045	1.76122505491571	1.93058007306171	1.6639570672076	1.12583715107132
PIN1P1	4.6723885870116	5.35277292174045	5.02048335113307	5.0252228793581	5.22023433340298	5.08457038243538	4.76861188025948	4.82534012021843	4.66613967218578	4.64493113266038	5.25472376131767	4.92977493108458	5.35148238440011	5.26510697450351	5.15974601142929	5.25905443356394	4.74621030746121	5.29358456808959
ZRANB2-AS2	1.92893819877784	1.30730771133554	1.84859308518947	1.45848817937224	2.10263349619253	1.48629432258741	1.92887216752262	1.78249512362759	1.40483696565752	1.28083361156254	2.15398723082064	1.05222669267207	2.12445415762396	1.37361170194763	1.90686825179904	1.65092077172993	1.65756775266087	1.24093930727393
MIR7156	3.579173619623	4.2275069828954	3.78535201939139	2.80701774780971	4.32280286497041	3.80147722639528	3.94545091531378	4.19881515147202	4.18123861589703	3.71740092977747	3.51303530705722	3.68413476855155	4.38997918098183	3.87859302174391	4.1864860261348	3.66248118048797	3.56933816581399	3.88009074996157
MGC27382	2.25709407631782	1.53649526721225	1.99870238602424	1.3167463815298	2.0957655290013	1.72392087291113	1.64350687085369	1.89959455873254	2.07206805926765	1.68474929653063	1.60688643013393	1.56196043611791	2.19972988504255	2.20638920666778	1.4221877078114	1.60782350509022	2.23687928447936	1.91643786323607
LOC646626	2.45673274092144	3.04778022848248	2.45722318050262	3.29489720489101	2.74881322383987	3.09277976222198	2.68118189725182	2.30778847064894	2.98698603366597	3.20328771742388	2.58846430422841	2.75268220759654	2.68782276884744	3.36495351040661	2.89432186800089	3.39121189165286	2.5753375491066	2.75539885050064
GBP1P1	3.94025458945784	4.1977517256466	4.39373923430894	5.3773482897446	5.37732140714923	5.64993102313731	3.59303416798507	4.15793923479162	3.90030692972694	4.53616313934442	4.81461660755567	4.51874964621631	2.95374614335756	2.73971755012761	2.12996422303189	2.80548676374272	4.19617470092296	2.7519555990703
LOC100129046	2.89942968600649	1.8287956259041	2.86382932617186	2.89481770352306	2.87660690590803	2.19286528431009	2.93076711291848	1.8405545577486	2.11942710822312	2.19617715308568	2.99740056560496	1.92828891139235	2.03272539585451	2.80875741111522	1.87352637815831	2.07838163084027	2.56413152530027	2.73659675508747
LOC729970	2.41225394793331	2.19283759781707	2.59477831683129	2.76484469246029	2.13638086612693	1.84028717956273	2.47339425132365	2.8312141710556	3.02911468976616	3.36661845522034	3.14859696695396	1.79074104246239	2.33949342319453	2.48874418298287	2.64419864182387	2.07492166332698	2.46840792230457	3.21131574456488
LOC729987	1.80500921894127	2.17753568972727	1.83731929465728	1.60925988416325	2.20250707211413	1.80100891145356	1.71251552571056	1.56827329402551	2.20755498040302	1.96592119396066	2.07799848127314	1.34288268020626	1.83440207737062	1.38665506342955	1.58311895321233	1.83145159469398	1.65975030494907	2.02498041192323
