PROBEID	ID	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
TC1000011536.hg.1	NR_030338	MIR607	microRNA 607	0.0369357665053215	0.876737652910429	0.353345143521236	0.725745610180912	0.961540869499629	-6.05833578223111
TC1000011565.hg.1	NR_108035	LINC00866	long intergenic non-protein coding RNA 866	0.0130081920996599	2.03758989234231	0.0983072694024533	0.922195283130052	0.990892496924547	-6.11451179219146
TC1000011582.hg.1	NR_106762	MIR6507	microRNA 6507	-0.069887914062519	1.17643016938686	-0.518547152930893	0.607026433305887	0.936208922240891	-5.98833498412575
TC1000011587.hg.1	NR_120618	LINC01475	long intergenic non-protein coding RNA 1475	-0.0323301539133105	5.09667426024486	-0.308251596217686	0.759542563903305	0.967888423172742	-6.07286857932532
TC1000011635.hg.1	NR_130722	TLX1NB	TLX1 neighbor	0.0968592383310822	2.18158742557876	0.636514579565255	0.528184890136899	0.915820149989928	-5.9223633966384
TC1000011641.hg.1	NR_120621	LOC101927419	uncharacterized LOC101927419	-0.0715098987128975	1.50190823023302	-0.624069454362263	0.536240398350407	0.918438980136898	-5.92994670320885
TC1000011651.hg.1	NR_036115	MIR3158-2	microRNA 3158-2	0.00200722263495279	1.51772360733576	0.0150202350231464	0.988093137763397	0.998431863556272	-6.11912268924373
TC1000011721.hg.1	NR_120675	NEURL1-AS1	NEURL1 antisense RNA 1	-0.108630000606455	1.75658401513057	-0.907915248558866	0.369537269030367	0.86171439122207	-5.72092186394293
TC1000011744.hg.1	NR_030340	MIR609	microRNA 609	-0.0353891571965506	1.42286436008419	-0.259938238005252	0.796288168497901	0.97372314836994	-6.08625109373425
TC1000011745.hg.1	NR_039702	MIR4482	microRNA 4482	-0.23477382566373	1.92516312343372	-1.34767859310851	0.185591871547644	0.741444899357898	-5.25299716006013
TC1000011751.hg.1	NR_108036	CFAP58-AS1	CFAP58 antisense RNA 1 (head to head)	-0.159738857595649	1.63548469896959	-0.913367388156601	0.366699795940299	0.860500146541573	-5.71617688354878
TC1000011753.hg.1	NR_120624	LOC101927523	uncharacterized LOC101927523	-0.0717813155856137	1.84784024046411	-0.479111512654858	0.634553163471583	0.942947033950227	-6.00742840814676
TC1000011755.hg.1	NR_104028	SORCS3-AS1	SORCS3 antisense RNA 1	0.143920477443639	2.3208519226367	0.850890977123563	0.400059563326435	0.874162455876314	-5.7689176126231
TC1000011762.hg.1	NR_120625	LOC101927549	uncharacterized LOC101927549	0.193457150819573	1.11633677059125	1.49208342801395	0.143777804151141	0.695298536815352	-5.06304980637344
TC1000011779.hg.1	NR_125760	LINC01435	long intergenic non-protein coding RNA 1435	0.0672417891230439	0.849133173451547	0.585118518616309	0.561861402952039	0.926580104356909	-5.95273251729068
TC1000011800.hg.1	NR_038943	ADD3-AS1	ADD3 antisense RNA 1	0.22809394373883	2.04249031781553	2.01103708722794	0.0513183636003454	0.513198950834002	-4.2443608769669
TC1000011824.hg.1	NR_026932	PDCD4-AS1	PDCD4 antisense RNA 1	-0.0517410017113882	3.46301712338098	-0.331818034161498	0.741815477698151	0.964544597407822	-6.06551922840262
TC1000011827.hg.1	NR_026715	RPL13AP6	ribosomal protein L13a pseudogene 6	0.177965408513426	8.66187217315653	1.70545305085591	0.0961183746628284	0.627077699414504	-4.75140981148631
TC1000011841.hg.1	NR_106772	MIR6715B	microRNA 6715b	-0.0423534313538312	2.27202323001358	-0.326417153130054	0.745865961339657	0.965475314686276	-6.0672510613445
TC1000011842.hg.1	NR_028134	GUCY2GP	guanylate cyclase 2G, pseudogene	-0.135120217201089	2.48003832969514	-0.87171310817201	0.3887361920413	0.870470182288377	-5.75173825861024
TC1000011883.hg.1	NR_039703	MIR4483	microRNA 4483	-0.0106693164710469	0.866222999573867	-0.100413479666088	0.920534013417591	0.990599864123799	-6.11430735506454
TC1000011941.hg.1	NR_121650	MIR3663HG	MIR3663 host gene	0.146171450177409	4.2157303397499	1.5919518510528	0.119524748504886	0.663266189451546	-4.92169331384705
TC1000011942.hg.1	NR_037436	MIR3663	microRNA 3663	-0.179890012578674	5.42423068994796	-1.10961393491899	0.274006983014487	0.80952937651657	-5.52748555483141
TC1000011951.hg.1	NR_002791	EMX2OS	EMX2 opposite strand/antisense RNA	0.259699145876194	3.5618037639784	1.80229901363732	0.0792841413137506	0.58962527287689	-4.59823171979359
TC1000011989.hg.1	NR_002917	SNORA19	small nucleolar RNA, H/ACA box 19	-0.0156765222556935	1.12498344918875	-0.132699617158112	0.895117924803823	0.987602061354997	-6.1106315628202
TC1000012038.hg.1	NR_033850	WDR11-AS1	WDR11 antisense RNA 1	-0.0274655083886337	1.98686431565924	-0.219981814404481	0.827040596579523	0.978842491319701	-6.09560527656522
TC1000012142.hg.1	NR_036178	MIR4296	microRNA 4296	-0.210679227483794	5.08854499084774	-1.51976604127975	0.136691250899326	0.687071246097415	-5.02467429898253
TC1000012167.hg.1	NR_102707	FANK1-AS1	FANK1 antisense RNA 1	-0.124932787725357	1.9500354026598	-0.659903603136773	0.513220723695658	0.911747008576763	-5.90771543171379
TC1000012197.hg.1	NR_073453	LINC00601	long intergenic non-protein coding RNA 601	-0.209416488649203	2.09086537846457	-1.39482692699469	0.171015860947	0.725817639975374	-5.19288629366433
TC1000012271.hg.1	NR_036179	MIR4297	microRNA 4297	0.305724734051425	4.19404721152789	2.89955128920989	0.00612652055775839	0.2136863405	-2.42021833056336
TC1000012275.hg.1	NR_034125	LINC00959	long intergenic non-protein coding RNA 959	0.01165641693518	3.4467124890436	0.0767496193830914	0.939217801839513	0.992728837938085	-6.11635519423188
TC1000012302.hg.1	NR_036180	MIR378C	microRNA 378c	-0.203121328619989	3.1548489466159	-1.65972000856381	0.105046896838412	0.641925872478262	-4.82123685045163
TC1000012320.hg.1	NR_038365	LINC01164	long intergenic non-protein coding RNA 1164	-0.066247399375138	2.12537751066542	-0.368975921864812	0.714154964581821	0.959095048496897	-6.05283896176912
TC1000012370.hg.1	NR_120626	LINC01166	long intergenic non-protein coding RNA 1166	0.0499303517269007	4.08280463321286	0.321260612673462	0.74974002197003	0.966275441955452	-6.06887817574454
