F1_H1	F1_H2	F1_H3	F1_N1	F1_N2	F1_N3	F2_H1	F2_H2	F2_H3	F2_N1	F2_N2	F2_N3	F3_H1	F3_H2	F3_H3	F3_N1	F3_N2	F3_N3
RNU5E-1	7.04514439176931	6.13856535784947	6.18411007463133	7.48492295825661	7.47164669226766	7.18777047609067	4.17313987039707	4.21063324376574	4.09212939335864	4.25938562857171	4.58604381788617	4.30134602000065	5.26228982094254	5.62093196383315	5.09840632888084	4.96663812134806	5.57978080405904	4.65330968780852
SNORA59B	4.1550625620811	3.71839013575319	3.8564149565118	4.4700402376113	3.70663722086455	4.20811439752796	3.91991437681778	4.66598559272989	4.07280262499956	3.41466479177375	3.4970894012913	4.18758534142853	3.85451045950581	4.29540598514667	3.47811177656307	3.57901647828692	3.53644054910443	3.29547957688218
MST1P2	5.14960390420334	4.89165668273985	5.10442476646438	5.52085276992731	5.12313743587362	5.15990632664443	5.37330862587644	5.77009121886711	5.55252008591283	5.5989773553466	5.87038635402697	6.12369599281303	5.08126249591418	5.26753770093053	5.65073154465224	5.50311143797903	5.25178752460286	5.56181650122401
LOC101927876	3.07102756874599	3.3270075349959	3.85861205386787	3.27700305750541	3.30198146273081	3.85825506921326	4.12536140609387	3.99870388108056	4.06469667058965	3.60262373697077	3.30356444717109	4.24479383419796	3.61538217970615	4.16441577785947	3.62756147837742	3.65862582402931	3.47454519297506	3.8117722659675
LOC100506801	2.75632506347757	2.22663070559335	2.59302626691313	2.67036821517508	2.78416432301342	2.20304814913185	2.66479924581855	2.46333760595585	2.85045423122966	2.09894241447929	2.96460006985913	2.92416925876607	2.83365939131215	2.96282761248324	2.45453923457452	2.5723849382142	3.13962487739186	2.58932896688278
LINC00339	5.19945889215804	5.22072428651114	4.83497164061162	4.29971171898482	4.9760378700375	4.9508718812489	3.96898958643274	4.21994533807992	4.59299174990092	5.18290890117139	4.7869838636214	4.84729961261545	5.83630668940133	5.5361404436036	5.24510541076139	4.93701491886971	5.52147556191468	5.19731723208814
LOC101928163	3.64318621783367	3.68946340321842	3.40929625894063	3.58947911713849	3.72807829542114	3.36344712794464	3.68740947506975	4.07037667099677	3.21561862867065	4.05021501902503	3.64904443632221	3.73033162708108	3.52871423303595	3.9324895686195	3.45898868820621	3.46252688470514	3.34143811403242	4.05853507562884
MIR378F	1.00895177491987	1.48829204823417	1.19891525806067	1.4281374402198	1.78720345891443	1.0453719271491	1.10883836935408	1.75242284010444	1.10661961226552	1.20710667128374	1.29851534380089	1.57900653302573	1.19151903261163	1.74035726519017	1.53550791952199	1.38989380389964	1.36734987916106	1.63852524671012
LOC284632	2.00548783135807	1.94947094018254	2.14667445232095	2.12040861141919	2.0262972383193	2.00499522813336	1.85143174531355	1.81480054378155	2.22874055227314	1.48350420384643	1.66884143719985	2.23064313564708	1.82856079305145	1.60378121963584	1.59821539437903	2.17858285867355	1.7815931750276	2.05003335341905
MIR4425	1.91650537288532	2.61913572086139	3.04295446193764	2.4505029620591	2.3346061355973	2.32687360908763	2.25428714088594	2.12620931187882	2.15959444131527	2.34185427508046	2.44092232902053	2.46997902580487	2.76664382198665	3.11670874538428	2.35592289023748	2.63505409851237	2.76746789436759	2.70041934221849
SCARNA1	1.71149757735521	1.37975556005965	1.0210825005197	1.30009399773285	1.79879518959525	1.66755898880234	1.1486869194559	1.20350214328527	1.2755884742402	0.657021646766789	0.620024656418141	0.999851096842304	1.28872964543305	1.32482325353042	1.62039717505048	1.43201789450847	1.13455671272172	1.1142791062351
RNU11	5.79164727032608	5.93534395407701	5.48031644622092	6.26990200636043	6.31802776592452	6.33079594709241	5.21522329444459	5.24649551828693	5.62655965334456	5.85540558617725	5.36531500625295	5.45539755829284	6.16149103881769	6.08540462702863	6.27770586987404	6.48082509787078	6.50580230744829	6.33976716263645
LINC01225	3.3017957917691	3.62339624692975	3.53405337421935	3.56663485535797	3.83267805560776	3.67259501006563	3.31582130139315	3.36254697281378	2.90994610733652	3.26940505205696	3.76232958864668	3.82680628492903	3.69742811349372	3.97024574628714	3.89356493341007	4.31105241073918	3.9952198931388	3.77639463950537
LOC101929464	3.31059990974361	2.88187072189593	3.24501313846654	3.305973594869	3.10930897969291	3.02999312644312	2.43778448756522	2.39740004284756	3.52888341007403	2.39183456595931	2.69160048096363	2.28756864742434	2.61392848788558	3.15357584486622	3.03222405150377	2.80795154564765	2.85557627265909	2.80027604657806
MIR4255	2.46046123719852	1.51195961641583	1.88750138474783	2.02664196723441	2.00204321545231	1.923136273431	1.58308631728942	1.43125770379801	2.0050668996531	1.46557174665433	1.89263590931135	1.38536881275663	1.8160358123776	2.41478041307589	2.08482543383233	1.96165401781791	1.83892389486966	1.53986894005026
LOC101929516	2.29007839146969	1.84241272189522	1.98474832585485	1.932621701851	2.15282570538895	2.25224211751532	1.49603151397866	1.51649388118946	1.67407036314622	1.39387547811826	1.80135935953559	1.21530062109465	1.90970300467055	1.7833878347532	1.65650718978374	1.24033965154892	1.2101373363524	1.40422282306066
MIR30E	1.07712302014796	1.17621278820622	0.809567429046577	0.808214256146285	1.44863743139869	1.36249044650952	1.2379044022039	1.34736784860364	0.81302034087153	1.87042316979287	1.03624864191787	0.881265848856036	0.933260217592146	0.939583433793146	1.35132818158193	1.34802694698111	1.086795494053	0.877409034727966
SLC2A1-AS1	2.55891183790583	2.93492431194545	2.45817427068042	2.55473987358224	2.98739214261644	2.2937616200214	3.81449989480697	2.71087039273724	3.77272861960358	3.27747800595718	2.72391734603017	2.95400412091732	2.9864214540113	2.82961045036242	2.79972359589246	2.33802941699328	2.75656447605683	2.28291236555175
MIR6735	3.28473733406759	3.83980533797302	4.21419896679771	4.00580885422445	3.84904934883387	4.19570432543654	4.02920716990239	4.57355927716919	3.57312082815936	3.39251620925364	3.8312754577497	4.08958026722773	3.76127913908562	4.6519721280689	3.25147018047666	3.94294618052233	4.09828671253974	4.42813671540349
LINC01144	3.08691813565217	3.43179175175542	3.06502886780338	3.3026888876819	3.12145274445723	2.95002805951818	3.3048056190938	2.78386095335135	3.66100520810997	3.58000617965962	3.24351936545168	2.90921048559021	3.0638213341655	3.23897594910875	3.00053076186378	3.20691207915029	3.08403330942045	3.3157831504975
LOC101929721	0.979604104210322	1.02650984474389	1.33826064339045	0.725116077700264	1.04746086985483	1.32886185537448	1.04680129858132	1.4493089450966	1.32093172201223	1.03568292036472	0.881210892149522	1.03545889994799	1.41565671792509	1.35451231327118	1.18525923217644	0.945400356163933	0.852372859188389	0.973392820494748
MIR4421	0.923417047638299	1.18796835743224	1.48230615593862	0.85501682796266	1.16158502403365	0.953393638415201	1.25200901875699	1.82306582163503	1.12588528097928	0.754835544379099	1.16814543400587	1.47309215503202	1.22603125597367	1.5049725580635	1.66682333396845	1.47912708105568	1.03176336994471	2.21730834095684
